date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-10-09,22.17,C,73.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-10-10,16.28,C,76.0,C,6.1,C,official_open_data,official_open_data,official_open_data
2025-10-11,22.51,C,76.0,C,10.1,C,official_open_data,official_open_data,official_open_data
2025-10-12,8.37,C,86.0,C,1.7,C,official_open_data,official_open_data,official_open_data
2025-10-13,19.12,C,84.0,C,8.0,C,official_open_data,official_open_data,official_open_data
2025-10-14,21.07,C,81.0,C,9.7,C,official_open_data,official_open_data,official_open_data
2025-10-15,20.98,C,72.0,C,10.3,C,official_open_data,official_open_data,official_open_data
2025-10-16,19.26,C,73.0,C,8.9,C,official_open_data,official_open_data,official_open_data
2025-10-17,19.67,C,74.0,C,8.6,C,official_open_data,official_open_data,official_open_data
2025-10-18,18.15,C,76.0,C,9.5,C,official_open_data,official_open_data,official_open_data
2025-10-19,16.21,C,67.0,C,7.0,C,official_open_data,official_open_data,official_open_data
2025-10-20,11.03,C,66.0,C,3.0,C,official_open_data,official_open_data,official_open_data
2025-10-21,6.46,C,70.0,C,0.1,C,official_open_data,official_open_data,official_open_data
2025-10-22,4.4,C,76.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-10-23,9.34,C,63.0,C,0.2,C,official_open_data,official_open_data,official_open_data
2025-10-24,12.39,C,58.0,C,3.8,C,official_open_data,official_open_data,official_open_data
2025-10-25,16.58,C,57.0,C,6.9,C,official_open_data,official_open_data,official_open_data
2025-10-26,16.6,C,54.0,C,9.1,C,official_open_data,official_open_data,official_open_data
2025-10-27,5.86,C,61.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-10-28,5.24,C,73.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-10-29,8.11,C,74.0,C,0.5,C,official_open_data,official_open_data,official_open_data
2025-10-30,13.13,C,70.0,C,5.6,C,official_open_data,official_open_data,official_open_data
2025-10-31,12.69,C,66.0,C,5.4,C,official_open_data,official_open_data,official_open_data
2025-11-01,5.82,C,64.0,C,2.3,C,official_open_data,official_open_data,official_open_data
2025-11-02,14.38,C,65.0,C,4.5,C,official_open_data,official_open_data,official_open_data
2025-11-03,6.79,C,62.0,C,1.3,C,official_open_data,official_open_data,official_open_data
2025-11-04,4.35,C,71.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-11-05,17.81,C,71.0,C,8.0,C,official_open_data,official_open_data,official_open_data
2025-11-06,13.2,C,76.0,C,4.4,C,official_open_data,official_open_data,official_open_data
2025-11-07,4.22,C,84.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-11-08,18.33,C,76.0,C,9.4,C,official_open_data,official_open_data,official_open_data
